seed,profile,start_sf,end_sf,first_cycle_at_min_sf,first_cycle_at_max_sf,last_100_sf_mean,last_100_sf_median,last_100_sf_mode,last_100_sf_min,last_100_sf_max
43,balanced,11,32,,,30.43,29.0,29,28,32
43,delay,29,10,14.0,,10.0,10.0,10,10,10
43,energy,10,68,1.0,38.0,67.99,68.0,68,67,68
43,reliability,68,10,38.0,1.0,10.0,10.0,10,10,10
44,balanced,11,29,,,30.12,29.0,29,28,32
44,delay,32,10,15.0,,10.0,10.0,10,10,10
44,energy,10,68,1.0,38.0,68.0,68.0,68,68,68
44,reliability,68,10,38.0,1.0,10.0,10.0,10,10,10
45,balanced,11,29,,,30.35,29.0,29,28,32
45,delay,32,10,15.0,,10.0,10.0,10,10,10
45,energy,10,68,1.0,38.0,68.0,68.0,68,68,68
45,reliability,68,10,38.0,1.0,10.0,10.0,10,10,10
46,balanced,11,32,,,30.38,29.0,29,28,32
46,delay,29,10,14.0,,10.0,10.0,10,10,10
46,energy,10,68,1.0,38.0,68.0,68.0,68,68,68
46,reliability,68,10,38.0,1.0,10.0,10.0,10,10,10
47,balanced,11,29,2.0,,30.39,29.0,29,28,32
47,delay,32,10,15.0,,10.0,10.0,10,10,10
47,energy,10,68,1.0,38.0,68.0,68.0,68,68,68
47,reliability,68,10,38.0,1.0,10.0,10.0,10,10,10
48,balanced,11,32,,,30.46,29.0,29,28,32
48,delay,29,10,14.0,,10.0,10.0,10,10,10
48,energy,10,68,1.0,38.0,68.0,68.0,68,68,68
48,reliability,68,10,38.0,1.0,10.0,10.0,10,10,10
49,balanced,11,32,,,30.3,29.0,29,28,32
49,delay,29,10,14.0,,10.0,10.0,10,10,10
49,energy,10,68,1.0,38.0,68.0,68.0,68,68,68
49,reliability,68,10,38.0,1.0,10.0,10.0,10,10,10
50,balanced,11,32,,,30.47,29.0,29,29,32
50,delay,29,10,14.0,,10.0,10.0,10,10,10
50,energy,10,68,1.0,38.0,68.0,68.0,68,68,68
50,reliability,68,10,38.0,1.0,10.0,10.0,10,10,10
