cycle_idx,sf_len_mean,sf_len_sd,sf_len_ci95,sf_len_n,power_normalized_mean,power_normalized_sd,power_normalized_ci95,power_normalized_n,delay_normalized_mean,delay_normalized_sd,delay_normalized_ci95,delay_normalized_n,pdr_mean,pdr_sd,pdr_ci95,pdr_n
1,11.0,0.0,0.0,8,0.14033942798273152,0.003322869036975241,0.0027779595436939982,8,0.03211966671356174,0.05721306930659459,0.0478308323727851,8,0.9861275395129562,0.014903562613743588,0.012459562365291783,8
2,12.625,1.0606601717798212,0.8867249999999999,8,0.13934551718123145,0.0030593105044452577,0.0025576213562371365,8,0.03064518597372847,0.0505546034817666,0.04226427272850892,8,0.9805608561844593,0.01930273488770763,0.016137324704651623,8
3,13.625,1.0606601717798212,0.8867249999999999,8,0.1379086302982731,0.0019423232159383028,0.0016238061911599889,8,0.028906728733706193,0.04531473004566293,0.037883673837129456,8,0.9796755524590175,0.016308282869675665,0.01363392584388947,8
4,15.625,1.0606601717798212,0.8867249999999999,8,0.13647719423433705,0.0023122328915971125,0.00193305524743232,8,0.027867367788850832,0.041034377760934715,0.03430524647588833,8,0.9757100071379577,0.017985933137298904,0.015036462182236138,8
5,16.625,1.0606601717798212,0.8867249999999999,8,0.13569268053375194,0.0021506056963564524,0.0017979329165360059,8,0.026990817445232695,0.03754385006107004,0.03138712221987073,8,0.9776086343111077,0.016559900605877635,0.013844281378178362,8
6,18.625,1.0606601717798212,0.8867249999999999,8,0.1346526023427122,0.0021671632200780115,0.0018117752108095457,8,0.026488097140971733,0.03449117319067361,0.02883504666360652,8,0.9771561386314986,0.016009710350443657,0.013384315531218128,8
7,19.625,1.0606601717798212,0.8867249999999999,8,0.13399331688719443,0.0020090151624969563,0.0016795614819549544,8,0.028528425823161528,0.0317361576809249,0.026531819680186756,8,0.9760548749893633,0.018281333154988918,0.01528342024444624,8
8,21.625,1.0606601717798212,0.8867249999999999,8,0.13318537153322862,0.0019761694662754196,0.0016521020743549037,8,0.027756111361748506,0.029587808865391647,0.02473577354388555,8,0.9757662960218184,0.015761216626466665,0.013176571709722735,8
9,22.625,1.0606601717798212,0.8867249999999999,8,0.1312041679748822,0.0019263567856358098,0.0016104580582832534,8,0.02020921159279638,0.009194072712451852,0.007686358310474243,8,0.9758691766802546,0.015803787838661435,0.013212161768761216,8
10,24.625,1.0606601717798212,0.8867249999999999,8,0.12962545002616427,0.0017729427681342732,0.0014822020453882118,8,0.02093836305275912,0.009224895359517031,0.007712126424000189,8,0.9759022454633234,0.01578964326085412,0.013200336727065585,8
11,25.625,1.0606601717798212,0.8867249999999999,8,0.1284369701726844,0.0017481030294490007,0.0014614357171412126,8,0.02135617676615429,0.008772026795614096,0.007333522712829453,8,0.9778631018223278,0.01441671579704801,0.01205255241524343,8
12,27.625,1.0606601717798212,0.8867249999999999,8,0.12779420460491886,0.0013609115685087928,0.0011377388749885717,8,0.021967262842612342,0.008746768065036098,0.007312406102186676,8,0.9806089511199013,0.011826028017036024,0.009886705442903262,8
13,28.625,1.0606601717798212,0.8867249999999999,8,0.12648081371009937,0.0016801545875261119,0.0014046299807072996,8,0.0234789505199356,0.010029797119310643,0.008385034233629105,8,0.9791898474142122,0.014006517244687188,0.011709621360585466,8
14,30.625,1.9226098333849673,1.6073255599364429,8,0.12580904500261636,0.0016633593886337126,0.0013905889870562678,8,0.02417819944192088,0.010037004232394023,0.008391059469155896,8,0.9783796622290271,0.01521468926285574,0.012719668085553753,8
15,28.875,0.3535533905932738,0.295575,8,0.1250383359497645,0.0016277665445816917,0.0013608329299498075,8,0.024260461327836158,0.009620661732103112,0.008042991998166616,8,0.977987830124232,0.014326505889814703,0.011977135818938858,8
16,30.875,1.5526475085202969,1.298032488277932,8,0.12396702511773935,0.002582500674262179,0.002159002450843885,8,0.022077671903546682,0.008905661604347668,0.007445243062972736,8,0.9736325489170989,0.02018073191867545,0.016871341063518498,8
