profile,initial_sf_len,final_sf_len,oracle_sf_len,initial_distance,final_distance,direction_ok,steps,mean_reward,increase_actions,decrease_actions,hold_actions
balanced,10,29,29,19,0,True,128,2.240630212173054,13,0,115
balanced,25,29,29,4,0,True,128,2.240809347315407,3,0,125
balanced,40,29,29,11,0,True,128,2.2407949976089623,0,6,122
balanced,55,29,29,26,0,True,128,2.240592917091127,0,16,112
balanced,68,29,29,39,0,True,128,2.2402414324975655,0,24,104
delay,10,10,10,0,0,True,128,2.079717514371794,0,128,0
delay,25,10,10,15,0,True,128,2.0795507106284052,0,128,0
delay,40,10,10,30,0,True,128,2.078964820912898,0,128,0
delay,55,10,10,45,0,True,128,2.0777374002326043,0,128,0
delay,68,10,10,58,0,True,128,2.076306320414818,0,128,0
energy,10,68,68,58,0,True,128,2.0012513297327037,128,0,0
energy,25,68,68,43,0,True,128,2.0024417933183027,128,0,0
energy,40,68,68,28,0,True,128,2.00273469262179,128,0,0
energy,55,68,68,13,0,True,128,2.0029133162674744,128,0,0
energy,68,68,68,0,0,True,128,2.0029998729831893,128,0,0
reliability,10,10,10,0,0,True,128,2.777205574519525,0,128,0
reliability,25,10,10,15,0,True,128,2.777139438890383,0,128,0
reliability,40,10,10,30,0,True,128,2.7768540047773986,0,128,0
reliability,55,10,10,45,0,True,128,2.7761918742771075,0,128,0
reliability,68,10,10,58,0,True,128,2.775388034248091,0,128,0
