#{"t_start": 1784614262.4144373, "env_id": "None"}
r,l,t
620.259884,300,18.388986
600.32739,300,18.8732
832.729594,300,19.220621
671.118724,300,19.860525
623.162154,300,20.172675
598.447058,300,20.633216
832.781998,300,21.151344
672.005555,300,21.779879
622.513812,300,22.201419
595.907427,300,22.699771
829.453221,300,23.17194
671.887092,300,23.593447
621.026182,300,24.040197
600.217383,300,26.471739
829.809536,300,26.82509
670.59515,300,27.296684
616.713325,300,27.587437
600.450611,300,27.962141
830.314309,300,28.328033
671.750425,300,28.610463
618.345103,300,28.977877
599.911012,300,29.427468
830.079167,300,29.880543
671.685229,300,30.429553
616.435665,300,30.979666
600.670432,300,31.404006
832.322364,300,31.824285
671.140294,300,37.792945
616.790627,300,38.154384
600.122186,300,38.995862
828.943995,300,39.801838
670.68341,300,40.221823
616.239878,300,40.801663
600.671649,300,41.202215
831.148435,300,41.519583
670.339985,300,41.80663
616.79834,300,42.169203
599.577903,300,42.89809
829.431697,300,43.537849
670.706731,300,44.201267
617.874148,300,45.050402
600.008022,300,45.481633
831.631101,300,48.662825
671.643696,300,49.324124
617.01149,300,49.809057
599.857994,300,50.245832
828.972428,300,50.603663
670.682113,300,50.940491
619.353786,300,51.228162
600.436684,300,51.502248
830.977045,300,51.790954
671.556808,300,52.074136
617.051033,300,52.366098
600.116861,300,52.656133
829.239407,300,59.086368
671.873182,300,59.596046
616.177647,300,60.06486
600.425647,300,60.349329
829.413879,300,60.932106
670.482873,300,61.49592
616.206424,300,61.77518
600.616781,300,62.252053
828.859536,300,62.531324
670.782558,300,62.931228
617.698034,300,63.390878
600.370428,300,63.922268
828.763031,300,64.621942
670.924403,300,65.118646
616.835125,300,66.039028
600.445702,300,66.384092
830.740376,300,67.208969
670.722114,300,67.771467
616.267334,300,68.298321
600.614808,300,68.776446
829.084589,300,69.056409
670.416318,300,69.622395
617.147633,300,69.9718
600.619496,300,70.26564
829.24817,300,70.79621
670.596409,300,71.206926
